,refPeriodId,period,reporterCode,reporterISO,Exporter,flowCode,flowDesc,partnerCode,partnerISO,Importer,partner2Code,partner2ISO,partner2Desc,classificationCode,cmdCode,cmdDesc,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
48891,20150101,2015,156,CHN,China,Export,Export,579,NOR,Norway,579,NOR,Norway,H4,30481,"Fish fillets; frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2312.0,False,8,kg,2312.0,False,2312.0,False,,False,,16194.0,16194.0,0,True,False
48925,20160101,2016,156,CHN,China,Export,Export,579,NOR,Norway,579,NOR,Norway,H4,30481,"Fish fillets; frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5396.854,True,-1,,0.0,False,5396.854,True,0.0,False,0.0,55627.0,55627.0,6,True,False
48961,20170101,2017,156,CHN,China,Export,Export,579,NOR,Norway,579,NOR,Norway,H5,30481,"Fish fillets; frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10010.0,False,8,kg,10010.0,False,10010.0,False,,False,,69098.0,69098.0,0,True,False
295039,20210101,2021,620,PRT,Portugal,Export,Export,56,BEL,Belgium,579,NOR,Norway,H5,30441,"Fish fillets; fresh or chilled, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic (Salmo salar), Danube (Hucho hucho)",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,756.0,False,8,kg,756.0,False,756.0,False,0.0,False,,4448.286,4448.286,0,False,True
300018,20170101,2017,620,PRT,Portugal,Export,Export,251,FRA,France,579,NOR,Norway,H5,30311,"Fish; frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,150.0,False,8,kg,150.0,False,150.0,False,,False,,948.407,948.407,0,False,True
300019,20170101,2017,620,PRT,Portugal,Export,Export,251,FRA,France,579,NOR,Norway,H5,30312,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3510.0,False,8,kg,3510.0,False,3510.0,False,,False,,21598.85,21598.85,0,False,True
300023,20170101,2017,620,PRT,Portugal,Export,Export,251,FRA,France,579,NOR,Norway,H5,30541,"Fish; smoked, whether or not cooked before or during smoking, salmon, Pacific (Oncorhynchus nerka, gorbuscha, keta, tschawytscha, kisutch, masou, rhodurus), Atlantic (Salmo salar) and Danube (Hucho hucho), includes fillets, but excludes edible fish offal",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,90.0,False,8,kg,90.0,False,90.0,False,,False,,737.274,737.274,0,False,True
300339,20180101,2018,620,PRT,Portugal,Export,Export,251,FRA,France,579,NOR,Norway,H5,30312,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3160.0,False,8,kg,3160.0,False,3160.0,False,,False,,21577.011,21577.011,0,False,True
301043,20190101,2019,620,PRT,Portugal,Export,Export,251,FRA,France,579,NOR,Norway,H5,30312,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2900.0,False,8,kg,2900.0,False,2900.0,False,0.0,False,,14957.378,14957.378,0,False,True
301046,20190101,2019,620,PRT,Portugal,Export,Export,251,FRA,France,579,NOR,Norway,H5,30313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20.0,False,8,kg,20.0,False,20.0,False,0.0,False,,359.38,359.38,0,False,True
302395,20200101,2020,620,PRT,Portugal,Export,Export,251,FRA,France,579,NOR,Norway,H5,30312,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,160.0,False,8,kg,160.0,False,160.0,False,0.0,False,,825.808,825.808,0,False,True
302611,20200101,2020,620,PRT,Portugal,Export,Export,251,FRA,France,579,NOR,Norway,H5,30441,"Fish fillets; fresh or chilled, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic (Salmo salar), Danube (Hucho hucho)",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10.0,False,8,kg,10.0,False,10.0,False,0.0,False,,53.683,53.683,0,False,True
302767,20200101,2020,620,PRT,Portugal,Export,Export,251,FRA,France,579,NOR,Norway,H5,30311,"Fish; frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1500.0,False,8,kg,1500.0,False,1500.0,False,0.0,False,,7709.823,7709.823,0,False,True
303078,20210101,2021,620,PRT,Portugal,Export,Export,251,FRA,France,579,NOR,Norway,H5,30311,"Fish; frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2900.0,False,8,kg,2900.0,False,2900.0,False,0.0,False,,15357.883,15357.883,0,False,True
303238,20210101,2021,620,PRT,Portugal,Export,Export,251,FRA,France,579,NOR,Norway,H5,30313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,90.0,False,8,kg,90.0,False,90.0,False,0.0,False,,1181.558,1181.558,0,False,True
303718,20210101,2021,620,PRT,Portugal,Export,Export,251,FRA,France,579,NOR,Norway,H5,30312,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,372.0,False,8,kg,372.0,False,372.0,False,0.0,False,,3719.718,3719.718,0,False,True
303769,20210101,2021,620,PRT,Portugal,Export,Export,251,FRA,France,579,NOR,Norway,H5,30441,"Fish fillets; fresh or chilled, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic (Salmo salar), Danube (Hucho hucho)",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,960.0,False,8,kg,960.0,False,960.0,False,0.0,False,,5083.418,5083.418,0,False,True
308834,20150101,2015,620,PRT,Portugal,Export,Export,380,ITA,Italy,579,NOR,Norway,H4,30312,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, livers, roes, and other fish meat of heading 0304",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3242.0,False,8,kg,3242.0,False,3242.0,False,,False,,14796.194,14796.194,0,False,True
308852,20150101,2015,620,PRT,Portugal,Export,Export,380,ITA,Italy,579,NOR,Norway,H4,30481,"Fish fillets; frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24446.0,False,8,kg,24446.0,False,24446.0,False,,False,,130924.299,130924.299,0,False,True
310335,20190101,2019,620,PRT,Portugal,Export,Export,380,ITA,Italy,579,NOR,Norway,H5,30312,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1458.0,False,8,kg,1458.0,False,1458.0,False,0.0,False,,5388.463,5388.463,0,False,True
310338,20190101,2019,620,PRT,Portugal,Export,Export,380,ITA,Italy,579,NOR,Norway,H5,30313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,465.0,False,8,kg,465.0,False,465.0,False,0.0,False,,8181.776,8181.776,0,False,True
310876,20200101,2020,620,PRT,Portugal,Export,Export,380,ITA,Italy,579,NOR,Norway,H5,30312,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,180.0,False,8,kg,180.0,False,180.0,False,0.0,False,,1042.825,1042.825,0,False,True
310973,20200101,2020,620,PRT,Portugal,Export,Export,380,ITA,Italy,579,NOR,Norway,H5,30313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,78.0,False,8,kg,78.0,False,78.0,False,0.0,False,,1186.742,1186.742,0,False,True
311641,20210101,2021,620,PRT,Portugal,Export,Export,380,ITA,Italy,579,NOR,Norway,H5,30313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9435.4,False,8,kg,9435.4,False,9435.4,False,0.0,False,,66598.924,66598.924,0,False,True
311815,20210101,2021,620,PRT,Portugal,Export,Export,380,ITA,Italy,579,NOR,Norway,H5,30481,"Fish fillets; frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1861.98,False,8,kg,1861.98,False,1861.98,False,0.0,False,,22226.056,22226.056,0,False,True
311990,20210101,2021,620,PRT,Portugal,Export,Export,380,ITA,Italy,579,NOR,Norway,H5,30312,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,26864.86,False,8,kg,26864.86,False,26864.86,False,0.0,False,,147821.249,147821.249,0,False,True
319212,20200101,2020,620,PRT,Portugal,Export,Export,724,ESP,Spain,579,NOR,Norway,H5,30311,"Fish; frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1188.0,False,8,kg,1188.0,False,1188.0,False,0.0,False,,6751.521,6751.521,0,False,True
319224,20170101,2017,620,PRT,Portugal,Export,Export,724,ESP,Spain,579,NOR,Norway,H5,30311,"Fish; frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2920.0,False,8,kg,2920.0,False,2920.0,False,,False,,18243.294,18243.294,0,False,True
319242,20190101,2019,620,PRT,Portugal,Export,Export,724,ESP,Spain,579,NOR,Norway,H5,30312,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,500.0,False,8,kg,500.0,False,500.0,False,0.0,False,,2854.889,2854.889,0,False,True
319267,20210101,2021,620,PRT,Portugal,Export,Export,724,ESP,Spain,579,NOR,Norway,H5,30312,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3312.0,False,8,kg,3312.0,False,3312.0,False,0.0,False,,15159.183,15159.183,0,False,True
